,Ticker,Company,Segment,Exchange,Weighting (%)
54,000792.SS,Qinghai Salt Lake Potash,Materials,Shenzhen,0.492
55,601601.SS,China Pacific Insurance,Financials,Shanghai,0.492
56,000100.SS,TCL Corporation,Information Technology,Shenzhen,0.477
57,601888.SS,China International Travel Service,Consumer Discretionary,Shanghai,0.477
58,600000.SS,Shanghai Pudong Development Bank,Financials,Shanghai,0.471
59,600031.SS,Sany Heavy Industry,Industrials,Shanghai,0.464
60,601985.SS,China National Nuclear Power,Utilities,Shanghai,0.46
61,600150.SS,China CSSC Holdings,Industrials,Shanghai,0.445
62,688041.SS,Hygon Information Technology,Information Technology,Shanghai,0.444
63,601766.SS,CRRC Corporation,Industrials,Shanghai,0.435
64,601169.SS,Bank of Beijing,Financials,Shanghai,0.43
65,002371.SS,NAURA Technology Group,Information Technology,Shenzhen,0.422
66,600089.SS,TBEA,Industrials,Shanghai,0.422
67,601688.SS,Huatai Securities,Financials,Shanghai,0.42
68,601138.SS,Foxconn Industrial Internet,Information Technology,Shanghai,0.417
69,000625.SS,Chongqing Changan Automobile,Consumer Discretionary,Shenzhen,0.415
70,600438.SS,Tongwei Company,Information Technology,Shanghai,0.402
71,600048.SS,Poly Real Estate Group,Real Estate,Shanghai,0.394
72,603501.SS,Will Semiconductor,Information Technology,Shanghai,0.393
73,600104.SS,SAIC Motor,Consumer Discretionary,Shanghai,0.392
74,600660.SS,Fuyao Glass Industry Group,Consumer Discretionary,Shanghai,0.389
75,000002.SS,China Vanke,Real Estate,Shenzhen,0.383
76,300015.SS,Aier Eye Hospital,Health Care,Shenzhen,0.383
77,601211.SS,Guotai Junan Securities,Financials,Shanghai,0.382
78,603288.SS,Foshan Haitian Flavouring & Food Co,Consumer Staples,Shanghai,0.38
79,600436.SS,Zhangzhou Pientzehuang Pharmaceutical,Health Care,Shanghai,0.377
80,601919.SS,China Cosco Holdings,Industrials,Shanghai,0.376
81,600905.SS,China Three Gorges Renewables (Group),Utilities,Shanghai,0.371
