,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE,market_cap,Sector
181,ASIANENE,Asian Energy Services Limited,EQ,9-Dec-21,10,10781805568,Energy
182,ASIANHOTNR,Asian Hotels (North) Limited,EQ,7-Apr-10,10,5982839808,Consumer Cyclical
183,ASIANPAINT,Asian Paints Limited,EQ,31-May-95,1,2.59171E+12,Basic Materials
184,ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,10,16070725632,Industrials
185,ASKAUTOLTD,ASK Automotive Limited,EQ,15-Nov-23,2,83854606336,Consumer Cyclical
186,ASMS,Bartronics India Limited,EQ,9-Feb-23,1,3368618752,Technology
187,ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-16,10,1716114176,Consumer Defensive
188,ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,10,12688292864,Basic Materials
189,ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-18,10,2.87029E+11,Healthcare
190,ASTRAL,Astral Limited,EQ,20-Mar-07,1,3.71785E+11,Industrials
191,ASTRAMICRO,Astra Microwave Products Limited,EQ,1-Nov-04,2,86385713152,Technology
192,ASTRAZEN,AstraZeneca Pharma India Limited,EQ,4-May-01,2,2.07975E+11,Healthcare
193,ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-17,10,243049456,Basic Materials
194,ATALREAL,Atal Realtech Limited,EQ,12-May-23,2,3369961216,Industrials
195,ATAM,Atam Valves Limited,EQ,10-May-23,10,839206208,Industrials
196,ATGL,Adani Total Gas Limited,EQ,5-Nov-18,1,5.69398E+11,Utilities
197,ATHERENERG,Ather Energy Limited,EQ,6-May-25,1,2.372E+11,Consumer Cyclical
198,ATL,Allcargo Terminals Limited,EQ,10-Aug-23,2,6779892224,Industrials
199,ATLANTAA,ATLANTAA LIMITED,EQ,25-Sep-06,2,3408059392,Industrials
200,ATLANTAELE,Atlanta Electricals Limited,EQ,29-Sep-25,2,56003809280,Industrials
201,ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-Oct-96,5,610423488,Consumer Cyclical
202,ATUL,Atul Limited,EQ,6-May-98,10,1.71542E+11,Basic Materials
203,ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,5,10795247616,Consumer Cyclical
204,AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,10,7.21851E+11,Financial Services
205,AURIGROW,Auri Grow India Limited,BE,24-Dec-20,1,339782400,Industrials
206,AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,10,50520379392,Technology
207,AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,1,6.57758E+11,Healthcare
208,AURUM,Aurum PropTech Limited,EQ,19-Aug-15,5,12867376128,Real Estate
209,AUSOMENT,Ausom Enterprise Limited,BE,17-Apr-96,10,1809752704,Financial Services
210,AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,10,29323620352,Consumer Cyclical
211,AUTOIND,Autoline Industries Limited,EQ,31-Jan-07,10,3251147520,Consumer Cyclical
212,AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,10,6523002368,Consumer Defensive
213,AVALON,Avalon Technologies Limited,EQ,18-Apr-23,2,53682675712,Technology
214,AVANTEL,Avantel Limited,EQ,31-Jul-24,2,36164558848,Technology
215,AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,1,1.02929E+11,Consumer Defensive
216,AVG,AVG Logistics Limited,EQ,12-May-23,10,2096335744,Industrials
217,AVL,Aditya Vision Limited,EQ,6-Nov-24,1,62237749248,Consumer Cyclical
218,AVONMORE,Avonmore Capital & Management Services Limited,EQ,4-Jan-23,1,4450053632,Financial Services
