,Symbol,Market cap,Company
340,4506,4.57 B ,Sumitomo Pharma Co.Ltd.
342,4324,4.53 B ,Dentsu Group Inc.
344,7261,4.52 B ,Mazda Motor Corp.
346,4751,4.48 B ,CyberAgent Incorporated
348,4704,4.43 B ,Trend Micro Incorporated
350,6532,4.19 B ,"BayCurrent, Inc"
352,8253,4.19 B ,"Credit Saison Co., Ltd."
354,5711,4.13 B ,Mitsubishi Materials Corp.
356,2282,4.04 B ,NH Foods Limited
358,2501,3.97 B ,Sapporo Holdings Limited
360,6724,3.97 B ,Seiko Epson Corp.
362,3086,3.96 B ,"J. FRONT RETAILING Co., Ltd."
364,9009,3.92 B ,"Keisei Electric Railway Co., Ltd."
366,6302,3.91 B ,"Sumitomo Heavy Industries, Ltd."
368,1721,3.9 B ,COMSYS Holdings Corporation
370,7731,3.78 B ,Nikon Corp.
372,9064,3.76 B ,"Yamato Holdings Co., Ltd."
374,5714,3.68 B ,"DOWA HOLDINGS CO., LTD."
376,9007,3.66 B ,"Odakyu Electric Railway Co., Ltd."
378,2002,3.63 B ,Nisshin Seifun Group Inc.
380,6471,3.59 B ,NSK Ltd.
382,4385,3.57 B ,"Mercari, Inc."
384,9001,3.53 B ,"Tobu Railway Co., Ltd."
386,6473,3.49 B ,JTEKT Corporation
388,8252,3.47 B ,"Marui Group Co., Ltd."
390,3436,3.44 B ,SUMCO Corporation
392,7951,3.37 B ,Yamaha Corporation
394,8233,3.33 B ,"Takashimaya Company, Limited"
396,7211,3.33 B ,Mitsubishi Motors Corporation
398,3405,3.28 B ,"Kuraray Co., Ltd."
400,6674,3.27 B ,GS Yuasa Corporation
402,5214,3.15 B ,"Nippon Electric Glass Co., Ltd."
404,1963,3.12 B ,JGC Holdings Corporation
406,2871,3.11 B ,Nichirei Corporation
408,6976,3.1 B ,"Taiyo Yuden Co., Ltd."
410,9008,2.74 B ,Keio Corporation
412,1332,2.64 B ,Nissui Corporation
414,5233,2.62 B ,Taiheiyo Cement Corporation
416,6770,2.59 B ,"Alps Alpine Co., Ltd."
418,6753,2.46 B ,Sharp Corporation
420,8304,2.16 B ,"Aozora Bank, Ltd."
422,6952,2.03 B ,"Casio Computer Co., Ltd."
424,6526,1.99 B ,Socionext Inc.
426,3401,1.88 B ,Teijin Limited
428,2432,1.76 B ,"DeNA Co., Ltd."
430,4043,1.74 B ,Tokuyama Corporation
432,4061,1.74 B ,"Denka Co., Ltd."
434,6103,1.61 B ,Okuma Corporation
436,4902,1.57 B ,"Konica Minolta, Inc."
438,4208,1.57 B ,UBE Corporation
440,7205,1.37 B ,"Hino Motors,Ltd."
442,5301,1.28 B ,"Tokai Carbon Co., Ltd."
444,6472,1.24 B ,NTN Corporation
446,3697,1.09 B ,"SHIFT, Inc."
448,7004,1.06 B ,Kanadevia Corporation
